,Дата,Вакансия,ЗП,Компания,Рейтинг компании,Необходимый уровень,Место работы,Тип занятости
195,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
196,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
197,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
198,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
199,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
200,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
201,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
202,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
203,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
204,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
205,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
206,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
207,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
208,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
209,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
210,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
211,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
212,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
213,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
214,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
215,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
216,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
217,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
218,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
219,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
220,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
221,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
222,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
223,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
224,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
225,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
226,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
227,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
228,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
229,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
230,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
231,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
232,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
233,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
234,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
235,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
236,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
237,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
238,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
239,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
240,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
241,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
242,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
243,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
244,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
245,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
246,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
247,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
248,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
249,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
250,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
251,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
252,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
253,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
254,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
255,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
256,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
257,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
258,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
259,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
260,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
261,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
262,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
263,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
264,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
265,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
266,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
267,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
268,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
269,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
270,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
271,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
272,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
273,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
274,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
275,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
276,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
277,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
278,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
279,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
280,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
281,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
282,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
283,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
284,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
285,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
286,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
287,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
288,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
289,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
290,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
291,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
292,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
293,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
294,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
295,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
296,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
297,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
298,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
299,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
300,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
301,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
302,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
303,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
304,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
305,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
306,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
307,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
308,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
309,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
310,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
311,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
312,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
313,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
314,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
315,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
316,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
317,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
318,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
319,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
320,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
321,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
322,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
323,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
324,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
325,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
326,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
327,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
328,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
329,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
330,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
331,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
332,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
333,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
334,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
335,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
336,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
337,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
338,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
339,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
340,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
341,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
342,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
343,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
344,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
345,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
346,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
347,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
348,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
349,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
350,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
351,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
352,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
353,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
354,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
355,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
356,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
357,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
358,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
359,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
360,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
361,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
362,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
363,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
364,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
365,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
366,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
367,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
368,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
369,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
370,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
371,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
372,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
373,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
374,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
375,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
376,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
377,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
378,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
379,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
380,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
381,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
382,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
383,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
384,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
385,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
386,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
387,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
388,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
