,Дата,Вакансия,ЗП,Компания,Рейтинг компании,Необходимый уровень,Место работы,Тип занятости
389,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
390,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
391,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
392,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
393,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
394,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
395,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
396,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
397,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
398,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
399,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
400,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
401,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
402,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
403,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
404,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
405,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
406,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
407,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
408,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
409,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
410,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
411,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
412,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
413,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
414,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
415,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
416,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
417,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
418,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
419,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
420,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
421,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
422,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
423,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
424,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
425,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
426,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
427,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
428,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
429,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
430,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
431,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
432,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
433,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
434,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
435,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
436,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
437,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
438,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
439,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
440,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
441,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
442,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
443,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
444,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
445,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
446,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
447,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
448,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
449,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
450,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
451,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
452,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
453,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
454,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
455,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
456,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
457,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
458,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
459,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
460,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
461,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
462,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
463,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
464,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
465,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
466,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
467,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
468,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
469,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
470,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
471,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
472,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
473,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
474,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
475,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
476,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
477,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
478,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
479,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
480,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
481,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
482,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
483,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
484,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
485,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
486,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
487,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
488,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
489,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
490,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
491,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
492,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
493,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
494,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
495,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
496,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
497,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
498,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
499,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
500,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
501,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
502,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
503,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
504,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
505,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
506,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
507,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
508,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
509,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
510,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
511,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
512,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
513,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
514,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
515,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
516,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
517,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
518,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
519,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
520,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
521,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
522,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
523,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
524,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
525,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
526,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
527,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
528,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
529,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
530,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
531,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
532,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
533,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
534,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
535,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
536,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
537,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
538,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
539,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
540,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
541,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
542,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
543,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
544,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
545,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
546,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
547,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
548,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
549,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
550,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
551,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
552,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
553,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
554,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
555,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
556,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
557,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
558,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
559,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
560,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
561,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
562,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
563,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
564,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
565,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
566,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
567,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
568,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
569,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
570,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
571,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
572,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
573,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
574,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
575,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
576,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
577,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
578,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
579,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
580,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
581,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
582,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
583,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
